First Term Gpa' numeric,Second Term Gpa' numeric,First Language' numeric, Funding numeric,School numeric,FastTrack numeric,Coop numeric, Residency numeric,Gender numeric,Previous Education' numeric,Age Group' numeric,High School Average Mark' numeric,Math Score' numeric,English Grade' numeric,"FirstYearPersistence {1,0}"
0,0,1,2,6,2,1,1,2,1,1,59,16,7,1
2.5,2,3,4,6,1,2,2,2,1,3,?,?,7,1
4.25,3.923077,1,1,6,2,1,1,1,2,3,92,41,9,1
3.020833,2.321429,3,4,6,1,2,2,2,2,3,?,?,8,1
4.275,4.326923,1,2,6,1,1,1,1,2,3,97,?,9,1
4.357143,4.326087,1,2,6,2,1,1,2,2,3,101,45,9,1
2.210526,1.375,1,2,6,2,1,1,2,1,1,68,20,7,0
2.045455,2.961538,1,2,6,2,1,1,2,1,1,79,34,9,1
4.285714,3.608696,1,2,6,2,1,1,1,1,2,98,39,9,1
2.863636,1.3,1,2,6,2,1,1,2,1,1,78,29,7,1
2.75,2.75,3,4,6,1,2,2,2,2,3,?,41,8,1
2.125,2.136364,1,2,6,2,1,1,2,1,2,73,18,7,1
1.46,0,1,2,6,2,2,1,2,1,1,81,17,9,1
4.421053,4.315789,1,2,6,2,2,1,2,1,4,95,38,7,1
3.791667,3.979167,?,4,6,2,2,2,2,1,4,?,47,8,1
3.717391,3.895833,3,4,6,1,2,2,2,2,3,?,?,10,1
4.233333,4.277778,1,2,6,2,2,1,1,2,8,?,?,9,1
3.413043,3.346154,3,8,6,1,2,1,2,2,8,?,?,7,1
3.375,3.696429,3,4,6,1,2,2,2,2,3,?,?,4,1
3.785714,3.431818,3,4,6,2,2,2,2,1,3,?,48,10,1
3.58,3.346154,3,4,6,1,2,2,2,2,3,?,?,8,1
3.086957,2.65625,1,2,6,2,2,1,2,1,1,80,28,9,0
4.5,4.421053,1,2,6,2,2,1,1,2,3,?,32,9,1
3.6,3.190476,3,4,6,1,2,2,1,1,3,?,?,9,1
3.425,3.175,3,4,6,2,2,2,2,2,3,?,?,8,1
3.770833,3.5,3,4,6,2,2,2,2,1,2,?,48,9,1
2.071429,3.166667,3,2,6,2,1,1,2,2,6,?,41,8,1
2.55,3.022727,3,2,6,1,2,1,2,2,8,?,?,8,1
3.782609,3.269231,3,4,6,1,2,2,1,2,2,?,?,8,1
3.979167,4.037037,3,4,6,1,1,2,1,2,3,?,?,7,1
2.645833,3.020833,3,4,6,2,2,2,2,2,1,?,39,8,1
4.5,4.5,1,2,6,2,2,1,2,2,3,97,43,9,1
3.065217,3.210526,3,2,6,2,1,1,1,0,4,?,26,9,1
2.125,1.409091,3,2,6,2,2,1,2,1,2,81,31,9,0
1.6,2.566667,1,2,6,2,1,1,2,1,2,68,21,7,1
4.225,4.428571,3,4,6,2,2,2,1,1,1,?,46,9,1
3.595238,3,3,4,6,2,2,2,2,1,2,?,48,8,1
3.82,3.611111,1,2,6,2,2,1,2,1,3,85,20,9,1
3.928571,4.190476,1,2,6,2,2,1,1,2,4,?,40,9,1
2.565217,2.153846,1,1,6,2,1,1,2,1,1,83,25,9,1
2.52381,1.823529,3,2,6,2,1,1,2,1,2,60,16,4,1
4.309524,4.095238,1,2,6,2,2,1,1,1,2,95,48,9,1
3.865385,3.844828,3,4,6,1,2,2,2,2,3,?,47,4,1
2.05,2.555556,1,2,6,2,2,1,1,1,1,76,23,10,1
3.47619,2.975,1,2,6,2,1,1,1,2,3,87,32,9,1
3.304348,3.326923,3,4,6,1,1,2,1,1,3,?,?,8,1
1.105263,0,1,2,6,2,2,1,2,2,2,82,22,7,0
2.23913,2.361111,3,4,6,2,2,2,2,2,1,?,32,8,1
3.54,2.521739,1,2,6,2,2,1,2,1,1,81,34,7,1
3.526316,2.477273,1,2,6,2,1,1,2,1,1,78,19,7,1
1.78,?,1,2,6,2,1,1,2,1,1,87,28,9,0
4.38,4.425,1,2,6,2,2,1,2,1,4,74,26,9,1
3.027778,2.235294,3,4,6,2,2,2,2,1,2,?,29,9,1
2.309524,3.043478,3,4,6,1,2,2,2,1,3,?,?,8,1
2.875,3.068182,3,4,6,1,2,2,2,2,3,?,?,8,1
3.826087,3.704545,1,2,6,2,2,1,1,1,6,80,26,9,1
3.32,1.333333,1,2,6,2,2,1,2,1,3,?,32,9,1
2.875,2.795455,1,2,6,2,1,1,2,1,1,88,43,9,1
3.456522,3.52381,3,2,6,2,1,1,1,1,2,90,40,8,1
2.695652,2.630435,1,1,6,2,1,1,2,1,1,73,29,9,1
3.06,3.304348,3,4,6,1,2,2,2,2,3,?,45,8,1
3.277778,3.44,3,4,6,1,2,2,2,1,3,?,?,9,1
0.2,0,3,2,6,2,1,1,2,0,3,17,23,9,0
2.94,1.727273,1,2,6,2,2,1,1,1,2,75,19,9,0
0,?,1,2,6,2,2,1,2,0,4,50,26,9,0
1.857143,?,?,4,6,2,2,2,2,1,1,?,47,7,0
3.804348,3.714286,3,4,6,2,2,2,1,2,2,?,40,4,1
